Season,Start Year,Num Teams,Matches,Champion,Title-Winning Points,2nd Place,2nd Place Points,3rd Place,3rd Place Points,4th Place,4th Place Points,Survived Relegation,Relegation Survival Points,Relegated 1,Relegated 2,Relegated 3
1992/93,1992,18,34,Werder Bremen,48,Bayern Munich,47,Eintracht Frankfurt,42,Borussia Dortmund,41,Dynamo Dresden,27,VfL Bochum,Bayer 05 Uerdingen,1. FC Saarbrücken
1993/94,1993,18,34,Bayern Munich,44,1. FC Kaiserslautern,43,Bayer Leverkusen,39,Borussia Dortmund,39,SC Freiburg,28,1. FC Nürnberg,SG Wattenscheid 09,VfB Leipzig
1994/95,1994,18,34,Borussia Dortmund,49,Werder Bremen,48,SC Freiburg,46,1. FC Kaiserslautern,46,Bayer 05 Uerdingen,25,VfL Bochum,MSV Duisburg,Dynamo Dresden
1995/96,1995,18,34,Borussia Dortmund,68,Bayern Munich,62,Schalke 04,56,Borussia Mönchengladbach,53,FC St. Pauli,38,1. FC Kaiserslautern,Eintracht Frankfurt,KFC Uerdingen
1996/97,1996,18,34,Bayern Munich,71,Bayer Leverkusen,69,Borussia Dortmund,63,VfB Stuttgart,61,Hansa Rostock,40,Fortuna Düsseldorf,SC Freiburg,FC St. Pauli
1997/98,1997,18,34,1. FC Kaiserslautern,68,Bayern Munich,66,Bayer Leverkusen,55,VfB Stuttgart,52,Borussia Mönchengladbach,38,Karlsruher SC,1. FC Köln,Arminia Bielefeld
1998/99,1998,18,34,Bayern Munich,78,Bayer Leverkusen,63,Hertha BSC,62,Borussia Dortmund,57,Eintracht Frankfurt,37,1. FC Nürnberg,VfL Bochum,Borussia Mönchengladbach
2000/01,2000,18,34,Bayern Munich,63,Schalke 04,62,Borussia Dortmund,58,Bayer Leverkusen,57,VfB Stuttgart,38,SpVgg Unterhaching,Eintracht Frankfurt,VfL Bochum
2001/02,2001,18,34,Borussia Dortmund,70,Bayer Leverkusen,69,Bayern Munich,68,Hertha BSC,61,1. FC Nürnberg,34,SC Freiburg,1. FC Köln,FC St. Pauli
2002/03,2002,18,34,Bayern Munich,75,VfB Stuttgart,59,Borussia Dortmund,58,Hamburger SV,56,Bayer Leverkusen,40,Arminia Bielefeld,1. FC Nürnberg,Energie Cottbus
2003/04,2003,18,34,Werder Bremen,74,Bayern Munich,68,Bayer Leverkusen,65,VfB Stuttgart,64,1. FC Kaiserslautern,36,Eintracht Frankfurt,1860 Munich,1. FC Köln
2004/05,2004,18,34,Bayern Munich,77,Schalke 04,63,Werder Bremen,59,Hertha BSC,58,Borussia Mönchengladbach,36,VfL Bochum,Hansa Rostock,SC Freiburg
2005/06,2005,18,34,Bayern Munich,75,Werder Bremen,70,Hamburger SV,68,Schalke 04,61,VfL Wolfsburg,34,1. FC Kaiserslautern,1. FC Köln,MSV Duisburg
2006/07,2006,18,34,VfB Stuttgart,70,Schalke 04,68,Werder Bremen,66,Bayern Munich,60,VfL Wolfsburg,37,Mainz 05,Alemannia Aachen,Borussia Mönchengladbach
2007/08,2007,18,34,Bayern Munich,76,Werder Bremen,66,Schalke 04,64,Hamburger SV,54,Arminia Bielefeld,34,1. FC Nürnberg,Hansa Rostock,MSV Duisburg
2008/09,2008,18,34,VfL Wolfsburg,69,Bayern Munich,67,VfB Stuttgart,64,Hertha BSC,63,Borussia Mönchengladbach,31,Energie Cottbus,Karlsruher SC,Arminia Bielefeld
2009/10,2009,18,34,Bayern Munich,70,Schalke 04,65,Werder Bremen,61,Bayer Leverkusen,59,Hannover 96,33,1. FC Nürnberg,VfL Bochum,Hertha BSC
2010/11,2010,18,34,Borussia Dortmund,75,Bayer Leverkusen,68,Bayern Munich,65,Hannover 96,60,VfL Wolfsburg,38,Borussia Mönchengladbach,Eintracht Frankfurt,FC St. Pauli
2011/12,2011,18,34,Borussia Dortmund,81,Bayern Munich,73,Schalke 04,64,Borussia Mönchengladbach,60,Hamburger SV,36,Hertha BSC,1. FC Köln,1. FC Kaiserslautern
2012/13,2012,18,34,Bayern Munich,91,Borussia Dortmund,66,Bayer Leverkusen,65,Schalke 04,55,FC Augsburg,33,1899 Hoffenheim,Fortuna Düsseldorf,Greuther Fürth
2013/14,2013,18,34,Bayern Munich,90,Borussia Dortmund,71,Schalke 04,64,Bayer Leverkusen,61,VfB Stuttgart,32,Hamburger SV,1. FC Nürnberg,Eintracht Braunschweig
2014/15,2014,18,34,Bayern Munich,79,VfL Wolfsburg,69,Borussia Mönchengladbach,66,Bayer Leverkusen,61,Hertha BSC,35,Hamburger SV,SC Freiburg,SC Paderborn
2015/16,2015,18,34,Bayern Munich,88,Borussia Dortmund,78,Bayer Leverkusen,60,Borussia Mönchengladbach,55,1899 Hoffenheim,37,Eintracht Frankfurt,VfB Stuttgart,Hannover 96
2016/17,2016,18,34,Bayern Munich,82,RB Leipzig,67,Borussia Dortmund,64,1899 Hoffenheim,62,Mainz 05,37,VfL Wolfsburg,FC Ingolstadt,Darmstadt 98
2017/18,2017,18,34,Bayern Munich,84,Schalke 04,63,1899 Hoffenheim,55,Borussia Dortmund,55,SC Freiburg,36,VfL Wolfsburg,Hamburger SV,1. FC Köln
2018/19,2018,18,34,Bayern Munich,78,Borussia Dortmund,76,RB Leipzig,66,Bayer Leverkusen,58,FC Augsburg,32,VfB Stuttgart,Hannover 96,1. FC Nürnberg
2019/20,2019,18,34,Bayern Munich,82,Borussia Dortmund,69,RB Leipzig,66,Borussia Mönchengladbach,65,FC Augsburg,36,Werder Bremen,Fortuna Düsseldorf,SC Paderborn
2020/21,2020,18,34,Bayern Munich,78,RB Leipzig,65,Borussia Dortmund,64,VfL Wolfsburg,61,Arminia Bielefeld,35,1. FC Köln,Werder Bremen,Schalke 04
2021/22,2021,18,34,Bayern Munich,77,Borussia Dortmund,69,Bayer Leverkusen,64,RB Leipzig,58,VfB Stuttgart,33,Hertha BSC,Arminia Bielefeld,Greuther Fürth
2022/23,2022,18,34,Bayern Munich,71,Borussia Dortmund,71,RB Leipzig,66,Union Berlin,62,FC Augsburg,34,VfB Stuttgart,Schalke 04,Hertha BSC
2023/24,2023,18,34,Bayer Leverkusen,90,VfB Stuttgart,73,Bayern Munich,72,RB Leipzig,65,Union Berlin,33,VfL Bochum,1. FC Köln,Darmstadt 98
2024/25,2024,18,34,Bayern Munich,82,Bayer Leverkusen,69,Eintracht Frankfurt,60,Borussia Dortmund,57,TSG Hoffenheim,32,1. FC Heidenheim,Holstein Kiel,VfL Bochum
