Season,Start Year,Num Teams,Matches,Champion,Title-Winning Points,2nd Place,2nd Place Points,3rd Place,3rd Place Points,4th Place,4th Place Points,Survived Relegation,Relegation Survival Points,Relegated 1,Relegated 2,Relegated 3
1992/93,1992,20,38,Barcelona,58,Real Madrid,57,Deportivo La Coruña,54,Valencia,48,Albacete,31,Español,Cádiz,Real Burgos
1993/94,1993,20,38,Barcelona,56,Deportivo La Coruña,56,Zaragoza,46,Real Madrid,45,Rayo Vallecano,31,Valladolid,Lleida,Osasuna
1994/95,1994,20,38,Real Madrid,55,Deportivo La Coruña,51,Real Betis,46,Barcelona,46,Albacete,34,Sporting Gijón,Valladolid,Logroñés
1995/96,1995,22,42,Atlético Madrid,87,Valencia,83,Barcelona,80,Espanyol,74,Rayo Vallecano,44,Albacete,Mérida,Salamanca
1997/98,1997,20,38,Barcelona,74,Athletic Bilbao,65,Real Sociedad,63,Real Madrid,63,Compostela,44,Oviedo,Mérida,Sporting Gijón
1998/99,1998,20,38,Barcelona,79,Real Madrid,68,Mallorca,66,Valencia,65,Extremadura,39,Villarreal,Tenerife,Salamanca
2000/01,2000,20,38,Real Madrid,80,Deportivo La Coruña,73,Mallorca,71,Barcelona,63,Zaragoza,42,Oviedo,Racing Santander,Numancia
2001/02,2001,20,38,Valencia,75,Deportivo La Coruña,68,Real Madrid,66,Barcelona,64,Osasuna,42,Las Palmas,Tenerife,Zaragoza
2002/03,2002,20,38,Real Madrid,78,Real Sociedad,76,Deportivo La Coruña,72,Celta Vigo,61,Espanyol,43,Recreativo,Alavés,Rayo Vallecano
2003/04,2003,20,38,Valencia,77,Barcelona,72,Deportivo La Coruña,71,Real Madrid,70,Racing Santander,42,Valladolid,Celta Vigo,Murcia
2004/05,2004,20,38,Barcelona,84,Real Madrid,80,Villarreal,65,Real Betis,62,Mallorca,39,Levante,Numancia,Albacete
2005/06,2005,20,38,Barcelona,82,Real Madrid,70,Valencia,69,Osasuna,68,Racing Santander,40,Alavés,Cádiz,Málaga
2006/07,2006,20,38,Real Madrid,76,Barcelona,76,Sevilla,71,Valencia,66,Athletic Bilbao,40,Celta,Real Sociedad,Gimnàstic
2007/08,2007,20,38,Real Madrid,85,Villarreal,77,Barcelona,67,Atlético Madrid,64,Osasuna,43,Zaragoza,Murcia,Levante
2008/09,2008,20,38,Barcelona,87,Real Madrid,78,Sevilla,70,Atlético Madrid,67,Getafe,42,Real Betis,Numancia,Recreativo Huelva
2009/10,2009,20,38,Barcelona,99,Real Madrid,96,Valencia,71,Sevilla,63,Málaga,37,Valladolid,Tenerife,Xerez
2010/11,2010,20,38,Barcelona,96,Real Madrid,92,Valencia,71,Villarreal,62,Mallorca,44,Deportivo La Coruña,Hércules,Almería
2011/12,2011,20,38,Real Madrid,100,Barcelona,91,Valencia,61,Málaga,58,Granada,42,Villarreal,Sporting Gijón,Racing Santander
2012/13,2012,20,38,Barcelona,100,Real Madrid,85,Atlético Madrid,76,Real Sociedad,66,Celta Vigo,37,Mallorca,Deportivo La Coruña,Zaragoza
2013/14,2013,20,38,Atlético Madrid,90,Barcelona,87,Real Madrid,87,Athletic Bilbao,70,Almería,40,Osasuna,Valladolid,Real Betis
2014/15,2014,20,38,Barcelona,94,Real Madrid,92,Atlético Madrid,78,Valencia,77,Granada,35,Eibar,Almería,Córdoba
2015/16,2015,20,38,Barcelona,91,Real Madrid,90,Atlético Madrid,88,Villarreal,64,Sporting Gijón,39,Rayo Vallecano,Getafe,Levante
2016/17,2016,20,38,Real Madrid,93,Barcelona,90,Atlético Madrid,78,Sevilla,72,Leganés,35,Sporting Gijón,Osasuna,Granada
2017/18,2017,20,38,Barcelona,93,Atlético Madrid,79,Real Madrid,76,Valencia,73,Leganés,43,Deportivo La Coruña,Las Palmas,Málaga
2018/19,2018,20,38,Barcelona,87,Atlético Madrid,76,Real Madrid,68,Valencia,61,Celta Vigo,41,Girona,Huesca,Rayo Vallecano
2019/20,2019,20,38,Real Madrid,87,Barcelona,82,Atlético Madrid,70,Sevilla,70,Celta Vigo,37,Leganés,Mallorca,Espanyol
2020/21,2020,20,38,Atlético Madrid,86,Real Madrid,84,Barcelona,79,Sevilla,77,Elche,36,Huesca,Valladolid,Eibar
2021/22,2021,20,38,Real Madrid,86,Barcelona,73,Atlético Madrid,71,Sevilla,70,Cádiz,39,Granada,Levante,Alavés
2022/23,2022,20,38,Barcelona,88,Real Madrid,78,Atlético Madrid,77,Real Sociedad,71,Almería,41,Valladolid,Espanyol,Elche
2023/24,2023,20,38,Real Madrid,95,Barcelona,85,Girona,81,Atlético Madrid,76,Rayo Vallecano,38,Cádiz,Almería,Granada
2024/25,2024,20,38,Barcelona,88,Real Madrid,84,Atlético Madrid,76,Athletic Bilbao,70,Sevilla,41,Leganés,Las Palmas,Valladolid
