Season,Start Year,Num Teams,Matches,Champion,Title-Winning Points,2nd Place,2nd Place Points,3rd Place,3rd Place Points,4th Place,4th Place Points,Survived Relegation,Relegation Survival Points,Relegated 1,Relegated 2,Relegated 3
1992/93,1992,18,34,Milan,50,Internazionale,46,Parma,41,Juventus,39,Brescia,30,Fiorentina,Ancona,Pescara
1993/94,1993,18,34,Milan,50,Juventus,47,Lazio,44,Sampdoria,44,Piacenza,30,Udinese,Atalanta,Lecce
1994/95,1994,18,34,Juventus,73,Parma,63,Lazio,63,Milan,60,Genoa,40,Foggia,Reggiana,Brescia
1995/96,1995,18,34,Milan,73,Juventus,65,Lazio,59,Fiorentina,59,Bari,32,Torino,Cremonese,Padova
1996/97,1996,18,34,Juventus,65,Parma,63,Internazionale,59,Lazio,55,Cagliari,37,Perugia,Hellas Verona,Reggiana
1997/98,1997,18,34,Juventus,74,Internazionale,69,Udinese,64,Roma,59,Brescia,35,Atalanta,Lecce,Napoli
1998/99,1998,18,34,Milan,70,Lazio,69,Fiorentina,56,Parma,55,Salernitana,38,Sampdoria,Vicenza,Empoli
1999/00,1999,18,34,Lazio,72,Juventus,71,Milan,61,Internazionale,58,Torino,36,Venezia,Cagliari,Piacenza
2000/01,2000,18,34,Roma,75,Juventus,73,Lazio,69,Parma,56,Reggina,37,Vicenza,Napoli,Bari
2001/02,2001,18,34,Juventus,71,Roma,70,Internazionale,69,Milan,55,Hellas Verona,39,Lecce,Fiorentina,Venezia
2002/03,2002,18,34,Juventus,72,Internazionale,65,Milan,61,Lazio,60,Atalanta,38,Piacenza,Como,Torino
2003/04,2003,18,34,Milan,82,Roma,71,Juventus,69,Internazionale,59,Perugia,32,Modena,Empoli,Ancona
2004/05,2004,20,38,Juventus,86,Milan,79,Internazionale,72,Udinese,62,Parma,42,Bologna,Brescia,Atalanta
2005/06,2005,20,38,Juventus,91,Inter Milan,76,Roma,69,Milan,58,Lazio,32,Messina,Lecce,Treviso
2006/07,2006,20,38,Internazionale,97,Roma,75,Lazio,62,Milan,61,Cagliari,40,Chievo,Ascoli,Messina
2007/08,2007,20,38,Internazionale,85,Roma,82,Juventus,72,Fiorentina,66,Catania,37,Empoli,Parma,Livorno
2008/09,2008,20,38,Internazionale,84,Juventus,74,Milan,74,Fiorentina,68,Bologna,37,Torino,Reggina,Lecce
2009/10,2009,20,38,Internazionale,82,Roma,80,Milan,70,Sampdoria,67,Bologna,42,Atalanta,Siena,Livorno
2010/11,2010,20,38,Milan,82,Internazionale,76,Napoli,70,Udinese,66,Lecce,41,Sampdoria,Brescia,Bari
2011/12,2011,20,38,Juventus,84,Milan,80,Udinese,64,Lazio,62,Genoa,42,Lecce,Novara,Cesena
2012/13,2012,20,38,Juventus,87,Napoli,78,Milan,72,Fiorentina,70,Genoa,38,Palermo,Siena,Pescara
2013/14,2013,20,38,Juventus,102,Roma,85,Napoli,78,Fiorentina,65,Sassuolo,34,Catania,Bologna,Livorno
2014/15,2014,20,38,Juventus,87,Roma,70,Lazio,69,Fiorentina,64,Atalanta,37,Cagliari,Cesena,Parma
2015/16,2015,20,38,Juventus,91,Napoli,82,Roma,80,Internazionale,67,Udinese,39,Carpi,Frosinone,Hellas Verona
2016/17,2016,20,38,Juventus,91,Roma,87,Napoli,86,Atalanta,72,Crotone,34,Empoli,Palermo,Pescara
2017/18,2017,20,38,Juventus,95,Napoli,91,Roma,77,Internazionale,72,SPAL,38,Crotone,Hellas Verona,Benevento
2018/19,2018,20,38,Juventus,90,Napoli,79,Atalanta,69,Inter Milan,69,Genoa,38,Empoli,Frosinone,Chievo
2019/20,2019,20,38,Juventus,83,Internazionale,82,Atalanta,78,Lazio,78,Genoa,39,Lecce,Brescia,SPAL
2020/21,2020,20,38,Inter Milan,91,Milan,79,Atalanta,78,Juventus,78,Torino,37,Benevento,Crotone,Parma
2021/22,2021,20,38,Milan,86,Inter Milan,84,Napoli,79,Juventus,70,Salernitana,31,Cagliari,Genoa,Venezia
2022/23,2022,20,38,Napoli,90,Lazio,74,Inter Milan,72,Milan,70,Spezia,31,Hellas Verona,Cremonese,Sampdoria
2023/24,2023,20,38,Inter Milan,94,Milan,75,Juventus,71,Atalanta,69,Empoli,36,Frosinone,Sassuolo,Salernitana
2024/25,2024,20,38,Napoli,82,Inter Milan,81,Atalanta,74,Juventus,70,Lecce,34,Empoli,Venezia,Monza
