Season,Start Year,Num Teams,Matches,Champion,Title-Winning Points,2nd Place,2nd Place Points,3rd Place,3rd Place Points,4th Place,4th Place Points,Survived Relegation,Relegation Survival Points,Relegated 1,Relegated 2,Relegated 3
1992/93,1992,17,34,Milan,50,Internazionale,46,Parma,41,Juventus,39,Udinese,30,Brescia,Ancona,Pescara
1993/94,1993,18,34,Milan,50,Juventus,47,Lazio,44,Sampdoria,44,Piacenza,30,Udinese,Atalanta,Lecce
1994/95,1994,16,34,Juventus,73,Parma,63,Lazio,63,Milan,60,Cremonese,41,Foggia,Reggiana,Brescia
1997/98,1997,16,34,Juventus,74,Internazionale,69,Udinese,64,Roma,59,Brescia,35,Atalanta,Lecce,Napoli
2001/02,2001,16,34,Juventus,71,Roma,70,Internazionale,69,Milan,55,Hellas Verona,39,Lecce,Fiorentina,Venezia
2004/05,2004,20,38,Juventus,86,Milan,79,Internazionale,72,Udinese,62,Parma,42,Bologna,Brescia,Atalanta
2005/06,2005,20,38,Juventus,91,Inter Milan,76,Roma,69,Milan,58,Lazio,32,Messina,Lecce,Treviso
2006/07,2006,20,38,Internazionale,97,Roma,75,Lazio,62,Milan,61,Cagliari,40,Chievo,Ascoli,Messina
2016/17,2016,20,38,Juventus,91,Roma,87,Napoli,86,Atalanta,72,Crotone,34,Empoli,Palermo,Pescara
2020/21,2020,18,38,Inter Milan,91,Milan,79,Napoli,77,Lazio,68,Torino,37,Benevento,Crotone,Parma
2021/22,2021,18,38,Milan,86,Inter Milan,84,Napoli,79,Juventus,70,Salernitana,31,Cagliari,Genoa,Venezia
